Team,Airline,Departure_Time,Arrival_Time,Price
LAC,United,09:45 PM,12:28 AM +1,1400
LAC,American,05:40 PM,08:12 PM,1424
LAC,American,09:00 AM,11:43 AM,1624
LAC,American,12:40 PM,03:17 PM,1624
LAC,American,03:40 PM,06:13 PM,1624
LAC,American,07:14 PM,09:59 PM,1624
LAR,Spirit,06:15 AM,08:53 AM,528
LAR,Spirit,08:52 AM,11:36 AM,528
LAR,Spirit,08:56 PM,11:40 PM,588
LAR,Spirit,09:35 PM,07:46 AM +1,593
LAR,Frontier,06:10 AM,12:33 PM,597
LAR,Spirit,09:54 PM,09:49 AM +1,593
LAR,"Spirit, Frontier",09:54 PM,01:00 PM +1,611
LAR,"Spirit, Alaska",09:54 PM,07:39 AM +1,647
LAR,American,08:25 PM,11:17 PM,1344
LAR,United,06:15 AM,08:57 AM,1400
LAR,United,07:10 AM,09:53 AM,1400
LAR,United,08:50 AM,11:34 AM,1400
LAR,United,10:45 AM,01:30 PM,1400
LAR,United,01:00 PM,03:34 PM,1400
LAR,United,01:55 PM,04:36 PM,1400
LAR,United,03:35 PM,06:16 PM,1400
LAR,United,06:25 PM,09:09 PM,1400
LAR,United,08:10 PM,10:53 PM,1400
LAR,United,09:45 PM,12:28 AM +1,1400
LAR,American,05:40 PM,08:12 PM,1424
LAR,American,09:00 AM,11:43 AM,1624
LAR,American,12:40 PM,03:17 PM,1624
LAR,American,03:40 PM,06:13 PM,1624
LAR,American,07:14 PM,09:59 PM,1624
ARI,Frontier,04:21 PM,12:22 AM +1,508
ARI,Frontier,01:50 PM,05:04 PM,716
ARI,American,08:30 AM,11:31 AM,1104
ARI,United,09:15 AM,12:17 PM,1104
ARI,Southwest,06:45 AM,09:45 AM,1105
ARI,Frontier,10:49 AM,10:47 PM,648
ARI,American,06:00 AM,09:00 AM,1104
ARI,American,07:00 AM,09:59 AM,1104
ARI,United,07:25 AM,10:31 AM,1104
ARI,American,10:56 AM,02:03 PM,1104
ARI,United,11:10 AM,02:15 PM,1104
ARI,American,12:03 PM,03:02 PM,1104
ARI,United,01:25 PM,04:25 PM,1104
ARI,American,01:35 PM,04:32 PM,1104
ARI,United,04:17 PM,07:18 PM,1104
ARI,American,05:10 PM,08:09 PM,1104
ARI,American,06:50 PM,10:14 PM,1104
ARI,United,07:50 PM,10:50 PM,1104
